,,דרכי התקשרות עם הרשות המקומית וראש הרשות,,,,,,דרכי התקשרות עם האגף והמחלקה,,,,,,,,,דרכי התקשרות עם חברי מועצה,,,,,,מבקר העירייה,,,שקיפות: לפי חוק חופש המידע,,,,,,,פניות הציבור,,,"שקיפות: נדרש ע""פ חוק חופש המידע",,,,,מענקים ותמיכות,,,,,,,,,,,,,,,"שקיפות: לא נדרש ע""פ החוק",,,,,ישיבות מועצה,,,,,כספים: תקציב – לפי חוק חופש המידע,,,,,כספים: תקציב – המידע אינו נדרש לפי חוק חופש המידע,,,,,,כספים: ארנונה,,חוזים ומכרזים: תשתית,,,,,,,,חוזים ומכרזים: כוח אדם,,,רישוי עסקים,,תכנון ובנייה,,,,,,,,תכנון וסביבה: לפי חוק חופש המידע (סכימת ממצאים לכלל סוגי הזיהום; פירוט בטבלה),,,,,,,תכנון וסביבה: המידע אינו נדרש לפי חוק חופש המידע,,,,,,,,,,,,,חברות עירוניות,,,
אתר הרשות,שם רשות,הכתובת הפיזית של משרדי הרשות,מספרי טלפון (מרכזיית הרשות/שלוחות),4. אימייל כללי לרשות/ טופס פניה מקוון,5. שם ראש הרשות,6. מספר טלפון של ראש הרשות,7. אימייל/ טופס מקוון ליצירת קשר עם ראש הרשות,8. קיים מוקד עירוני באתר הרשות,9. במוקד העירוני יש אפשרות מעקב אחר הטיפול בפניות,10. שם מנהל/ת האגף,11. רמת האגף: טלפון, רמת האגף: אימייל/טופס מקוון/צור קשר,14. כתובת פיזית של האגף,15. שעות קבלת קהל באגף,16. שם מנהל/ת המחלקה (בהנחה ששמות המחלקות קיימים),17. רמת המחלקה: טלפון,18. רשימה של חברי מועצה,"19. מופיעה רשימה של סמכויותיהם של חברי המועצה(לדוגמה, נושא תיק התחדשות עירונית, או חבר/ה בוועדה עירונית מסוימת)",20. לכל חבר/ת מועצה מצוין אימייל/טופס מקוון,21. מצוין מספר טלפון נייח,22. יש/אין פורומים,23. כן/לא נוכחות בפייסבוק / טוויטר ועוד,"24. פרסום הדו""ח השנתי האחרון (2011) של מבקר הרשות","25. פרסום דו""חות השנתיים הקודמות (2009-2010) של מבקר הרשות","26. פרסום פרטי קשר של מבקר הרשות, ודרכי הפנייה אליו","27. פרסום הדו""ח השנתי האחרון (2011)","28. פרסום דו""חות השנתיים הקודמות (2010-2009)",29. המבנה הארגוני מוצג באתר,30. פרסום חוק חופש המידע,31. פרסום שם הממונה על חופש המידע,32. אימייל אישי/טופס פנייה מקוון לממונה,33. מספר הטלפון במשרד הממונה,34. פרסום שם הממונה על פניות/תלונות הציבור,35. אימייל אישי/טופס פנייה מקוון לממונה,36. מספר הטלפון במשרד הממונה,37. רשימת מאגרי מידע,38. פרסום מאגרי מידע באתר,39. פרטי קשר למנהל/ת מאגר המידע,40. סקירת עיקרי פעולות הרשות המתוכננות לשנה הנוכחית (2012),41. פרסום חוקי עזר עירוניים (מספיק אם יש קישור),"42. רשימת קרנות ומלגות שבמימון הרשות הציבורית (ע""פ חוק חופש המידע)","43. קריטריונים למתן קרנות ומלגות שבמימון הרשות הציבורית (תוספת – המידע אינו נדרש ע""פ חוק חופש המידע)","44. רשימת תמיכות וחסויות שנתנה הרשות הציבורית בשנה החולפת (ע""פ חוק חופש המידע)","45. קריטריונים למתן תמיכות וחסויות (תוספת – המידע אינו נדרש ע""פ חוק חופש המידע)",46. רשימת מוסדות הציבור שזכו לתמיכה בשנה החולפת,47. היקף התמיכה במוסדות הציבור,48. ניתן להגיש בקשה למענק באמצעות אתר האינטרנט,49. הקצאת מבני ציבור,50. שינוי ייעוד של מבני ציבור,51. פרסום מידע בנוגע להקצאת קרקע כתמיכה למטרות ציבוריות,52. פרסום הקריטריונים לזכייה,53. פרסום שמות המבקשים,54. פרסום שמות הזוכים,55. פרסום מוקדם של סדר יום של ועדת מענקים תמיכות,56. פרסום של הפרוטוקולים של דיוני ועדת מענקים ותמיכות,57. פרסום קוד אתי,"58. פרסום טפסים לגבי ניגודי עניינים של נבחרי ציבור ובכירים (לדוגמה, ראש הרשות וסגניו, חברי מועצה, מנכ""ל והנהלה בכירה)",59. פרסום הסכמים קואליציוניים,60. מידע סטטיסטי: פרסום המידע הסטטיסטי המופק ברשות המקומית (דמוגרפיה/חינוך; ללא קשר למאגרי המידע),"61. מידע סטטיסטי: פרסום המידע הנ""ל תוך התייחסות בעיבוד הנתונים להשלכות מגדריות; בעקבות תיקון חקיקה",62. פרסום מועדי הישיבות ומיקומן,63. האם קיימת הזמנה/עידוד/קריאה לתושבים להשתתף בדיון,64. פרסום מסמכים וטיוטות הקשורים לישיבות הקרובות,65. ישיבות: מוצג מראש סדר היום (לא בפרוטוקול),66. פרוטוקולים: גם בווידיאו ואודיו (לציין אם נמצאו פרוטוקולים באודיו בלבד), פרסום התקציב לשנה הנוכחית (2012),"פרסום תקציר המספק את עיקרי המידע, כולל סכומים", פרסום תקציב השנתיים הקודמות (לפי החוק: רק לשנה החולפת),"פירוט הוצאות הרשות הציבורית בשנה החולפת, לפי סעיפי התקציב", פרסום תכנון לעומת ביצוע (מקורות כספיים ושימושים לכל מחלקה)," ריכוז מידע על סעיפי ההכנסות הגבוהים ביותר (תקבולים, זיכיונות) – כולל הסברים","ריכוז מידע על סעיפי ההוצאות הגבוהים ביותר (ספקים, דלק לסוגיו, השימוש בכלי רכב של הרשות) – כולל הסברים",פרסום חמשת מקבלי השכר הגבוה ברשות לפי תפקידים בלבד (ללא שמות)," פרסום הדו""חות הכספיים של הרשות לשנה החולפת (2011: מאזן + דו""ח רווח והפסד)","פרסום הדו""חות הכספיים בשנתיים הקודמות (2009-2010)","פרסום מוקדם של סדר היום, והפרוטוקולים של דיוני התקציב בוועדת הכספים","78. תעריפי ארנונה (פרטית, עסקית, ציבורית)",79. קריטריונים להנחות ופטורים בארנונה,80. פרסום המכרזים באתר,81. פרסום קריטריונים במכרז והמשקל לכל קריטריון,82. האם העירייה אימצה מסמך מדיניות נגד שחיתות במכרזים,83. פרסום תכנון שנתי של תכניות הרכש,84. פרסום פרוטוקולים של ועדת הפטורים ו/או החלטות ונימוקים (פטור ממכרז ו/או הכרזה על ספק יחיד),85. פרסום תוצאות המכרזים באתר העירייה (בנפרד מפרוטוקול הוועדה),"86. יש RSS (הודעות ע""י אמייל/לנייד על עדכון באתר)",87. פרסום מתן זיכיונות על ידי העירייה,88. פרסום המכרזים באתר,89. פרסום קריטריונים במכרז והמשקל לכל קריטריון,90. פרסום קריטריונים לקבלת עובד/ת שלא במסגרת מכרז,91. פרסום מידע על התנאים למתן רישיון עסק ותהליך הרישוי למבקשי הרישיון,92. פרסום מידע לציבור על הבקשות לרישוי עסקים (במיוחד באזורים שיש בהם תמהיל של מסחר ומגורים),"93. פרסום תכניות הבנייה לאנשי מקצוע (ארכיטקטים, עורכי דין)","94. פרסום תכניות הבנייה בשפה ברורה ובאופן המאפשר התמצאות קלה (לדוגמה, אפשרות חיפוש/סינון ע""פ מיקום, ע""פ ועדות, ע""פ לו""ז וכד'. אפשר לתאר את המידע הקיים)",95. מידע קונקרטי לתושב בנושאי רישוי ופיקוח והיתרי בנייה (התהליך לאישור סגירת מרפסת),96. פרסום הנוהל לשינוי ייעוד של מבני ציבור,97. פרסום הצעות/ מועמדים לפני שינוי ייעוד של מבני ציבור,98. פרסום החלטות ונימוקים לגבי שינוי ייעוד של מבני ציבור,99. העלאת טיוטות של תוכניות תכנון ובנייה לדיון ציבורי (לציין אם התוכניות כוללות שינוי ייעודי קרקע),100. מערכת GIS (הצגת נתונים על גבי מפה) כוללת מידע על ייעודי קרקע.,"101. זהות המקור לפליטת הזיהום (חומרים לסביבה או לרעש, ריח או קרינה) שלא ברשות היחיד","102. שם החומר או קבוצת חומרים הנפלטים לסביבה, כמותם וריכוזם",103. הסוג והרמה של הרעש הריח והקרינה הנמדדים בסביבה,104. מיקום מועד ושיטת איסוף המידע וכן הגורם שאסף את המידע בעבור הרשות,"105. אזור גיאוגרפי ומועד פליטת החומר לסביבה ויצירת הרעש, הריח החומר או הקרינה","106. האם החומר נפלט אל האוויר, הים, הקרקע או המים","107. המידע הסביבתי מוצג בליווי ביאורים והקשרים, וכולל מידע מעובד כמו דו""חות תקופתיים",108. המידע הסביבתי כולל הסבר על ההשלכות הבריאותיות והסביבתיות של סוגי הזיהום השונים,109. המידע הסביבתי ברור וגלוי. לתאר את אופני הצגתו: דיווח טכני בלבד/ שורה תחתונה/ מפה/ מגמות,"110. לציין אם, בנוסף למידע מעובד, יש גישה למאגר הנתונים (המאפשר, לדוגמה, השוואות לאורך זמן, בין רשויות, בין שכונות וכד')",111. האם יש פרסום של תהליכי קבלת החלטות בתחום איכות סביבה (בנוסף לבדיקת ועדת איכות הסביבה כחלק מבדיקת הוועדות לעיל),"112. האם יש פרסום קריטריונים לזיהום סביבתי, או קישור לחקיקה הארצית בנושא","113. האם קיים פרסום מדידת זיהום אויר, בתדירות גבוהה","114. האם יש פרסום של מיקום פחי מחזור, מכל הסוגים: נייר, רטוב, פלסטיק, זכוכית, סוללות, מצברים, שמנים ","115. האם יש פרסום של מיקום קומפוסטרים, אתרי מחזור לפסולת",116. האם יש מידע על נוהל פינוי במקרה שלתושב אין יכולת לפנות בעצמו,117. האם יש פרסום של מספר גנים ציבוריים ביחס לשטח העיר,118. האם יש פרסום לגבי מיקום למסירת בגדי יד שנייה,"119. לפרט האם קיימים מסמכים בנושאים: זיהום אוויר, מים, אנרגיה, והתייעלות אנרגטית (UN) (טווח הציונים: 0-3)  האנרגיה. יש קידום של נושא הפרדת האשפה הביתית וקריאה להצטרפות לשולחן עגול בהשתתפות התושבים לדיון על הפרויקט. יש פרויקט של נטיעות עצים http://www.ashdod.muni.il/RESIDENTSERVICE/NETIOT/Pages/default.aspx ותכנית ל""עיר ירוקה"".",120. פרסום תוכניות קיימות ומדיניות פיתוח (בנייה/סביבה),121. פרסום רשימת החברות העירוניות,122. פרסום רשימת חברי הדירקטוריון של כל החברות העירוניות (כולל חברי מועצה ונציגי ציבור),"123. קישור לאתר החברות שבבעלות העירייה, כולל בעלות חלקית, או תת-אתר באתר העירוני עבורן","125. דו""חות שנתיים של החברות העירוניות"
http://www.tel-aviv.gov.il/Hebrew/Index.asp,תל אביב-יפו,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.5,1,1,0,1,1,1,1,0.5,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0.5,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0.5,1,1,0.5,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0.5,0,1,0,1,1,1,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,1,0,1,1,0,0,1,0.5,1,1,1,1,1
http://www.jerusalem.muni.il/jer_main/defaultnew.asp?lng=1,ירושלים,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0.5,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0.5,0.5,0.5,0.5,0.5,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0.5,1,1,0,0,1,1,0,1,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,1,1,0,0,0,1,0.5,1,1,0,1,0
http://www.holon.muni.il/,חולון,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,1,0,1,1,0.5,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0.5,0.5,1,0,0.5,0.5,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0.5,0,1,0,1,1,0.5,0,0,0,1,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0,0,0,1,0.5,1,1,1,1,0
http://www.rishonlezion.muni.il/,ראשון לציון,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0.5,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0.5,0.5,0,0.5,1,0,0.5,0.5,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0.5,0,1,0,1,1,0,0,0,0,1,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1,1,0.5,0,0,0,1,0,1,1,0,1,0
http://www.haifa.muni.il/haifa/Pages/haifa.aspx,חיפה,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0.5,1,1,0,0,0,0,1,0,1,1,1,0.5,0,0,0,0,0,0,1,0.5,0,1,0,1,0,1,0,0,0,1,1,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,0,0,0,0,0,1,1,1,1,0.5
http://www.kfar-saba.muni.il/,כפר סבא,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0.5,1,0,1,0,1,1,0.5,0.5,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.5,0.5,1,0.5,0,0.5,0.5,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0.5,0,1,0,0,0,0,0,0,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,0,0,0,1,0,1,1,1,1,0
http://www.raanana.muni.il/,רעננה,1,1,0,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0,0.5,0.5,0,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0.5,0,1,0,0,1,0,0,0,0,1,1,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0,1,1,1,0,0,0,1,1,1,1,1,1,0
http://www.netanya.muni.il/,נתניה,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.5,0.5,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.5,0.5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0.5,0,1,0,0,1,0,0,0,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
http://www.beer-sheva.muni.il/openning.asp?Lang=1,באר שבע,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0,0,0,1,1,0.5,0.5,0.5,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0,1,0.5,1,0,0,0,0.5,1,1,0,1,0
